카드명,소개,카드타입,카테고리
쿠팡 와우 카드,,신용카드,쇼핑_간편결제
이마트II KB국민카드(옐로우),다시 새롭게! 이마트!!,신용카드,쇼핑_간편결제
American Express Rose Gold Card,KB Pay와 만나는 장밋빛 할인 혜택,신용카드,쇼핑_간편결제
갤러리아 KB국민카드,갤러리아 혜택을 한 장에 담아,신용카드,쇼핑_간편결제
LFmall 신용카드,스마트한 쇼핑 혜택,신용카드,쇼핑_간편결제
The CJ KB국민카드,계열사가 많은 알찬 CJ,신용카드,쇼핑_간편결제
Easy shopping카드,쇼핑서비스에서 아파트관리비까지~,신용카드,쇼핑_간편결제
톡톡 Pay카드,똑똑하게 할인 “톡톡”!,신용카드,쇼핑_간편결제
롯데마트 KB국민카드,행복드림 롯데마트에서 할인 혜택,신용카드,쇼핑_간편결제
CHALLENGE BAG KB국민카드,11번가에서 SK Pay 결제 하고 11% OK캐쉬백 적립!,신용카드,쇼핑_간편결제
GS SHOP KB국민카드,"GS SHOP 12%, 월 최대 5만원 할인!",신용카드,쇼핑_간편결제
AK KB국민카드,쇼핑에 강한 AK와 생활에 강한 KB의 특별한 만남!,신용카드,쇼핑_간편결제
H.Point KB국민카드,현대백화점그룹 멤버십 혜택에 KB국민카드 혜택을 더하다!,신용카드,쇼핑_간편결제
삼성페이 KB국민카드,삼성 페이로 간편하게 할인받는 방법!,신용카드,쇼핑_간편결제
K-패스체크카드,교통비 SAVE!! 생활서비스 이용 시 포인트리 적립 혜택 까지~,체크카드,적립
K-패스체크카드(경기패스 디자인),교통비 SAVE!! 생활서비스 이용 시 포인트리 적립 혜택 까지~,체크카드,적립
카카오페이 KB국민 체크카드,카카오페이 X KB국민카드가 꿈꾸는 행복한 만남,체크카드,적립
가온 올포인트 체크카드,언제나 어디서나 쌓이는 즐거움!,체크카드,적립
가온체크카드,"모든가맹점 기본적립, 자주 이용하는 곳 추가적립. 때와 장소를 가리지 않는 적립혜택",체크카드,적립
레고랜드 체크카드,레고를 좋아한다면 꼭 체크해봐야 할 혜택!,체크카드,문화_레저
그린재킷 체크카드,골퍼들이 꿈꾸는 그린재킷을 내 손에,체크카드,문화_레저
H.Point 체크카드,KB국민 체크카드를 만나 더 강해진 현대백화점그룹 멤버십 혜택,체크카드,쇼핑_주유
정 체크카드,"현명한 쇼핑, 자신을 가꿀 줄 아는 센스 있는 여성을 위한 할인 혜택",체크카드,쇼핑_주유
스타체크카드,"별처럼 빛나는 다양한 혜택들, 당신이 머무는 곳마다 눈부신 할인 혜택",체크카드,쇼핑_주유
KB국민 티머니 노리 학생증 체크카드(그린_세로형),교통/통신 할인부터 커피숍과 영화관까지. 당신이 가는 곳곳마다 놀라운 할인 혜택!,체크카드,학생증
토스 USS NEXT 체크카드,매일 받는 토스 회원 맞춤 혜택,체크카드,음식_통신
총무 체크카드(홀로),모임의 밥과 후식 할인 담당,체크카드,음식_통신
새로이 체크카드,새롭게 시작하는 모두에게 스마트한 혜택!,체크카드,음식_통신
